config,overdraw,overdraw_ci,exposure,exposure_ci,exposure_p95,utility_frac,utility_frac_ci,exec_pre,exec_burst,exec_post,exec_w0,exec_wlast,n_denied,n_honest_denied,n_reauth,approved_charge,approved_exposure,sibling_exec,frag_moved
e9_fcfs,0.0,0.0,118852.08419458786,1136.0573552883639,134067.71454968167,0.008420729122644736,0.000864504799491984,0.1493502261983497,0.0006992393199518246,0.013492183117889888,0.008420729122644736,0.008420729122644736,1100.0666666666666,116.78,0.0,0.0,0.0,1.0,458866.6666666667
e9_fair,0.0,0.0,118496.83741726856,1246.71795257258,135650.95750528565,0.11677876283415614,0.0011934762455971409,0.5608609476911153,0.08928647011131215,0.01361260298970462,0.11677876283415614,0.11677876283415614,1105.7166666666667,96.49666666666667,0.0,0.0,0.0,1.0,199500.0
e10_flat,0.0,0.0,121681.51745613481,1624.5308283215302,147430.22323391188,0.34307901591257434,0.005011769462577138,0.9998918761819466,0.28587206435981133,0.0037099799625135233,0.34307901591257434,0.34307901591257434,56.413333333333334,56.413333333333334,0.0,0.0,0.0,0.4787482886651795,0.0
e10_hier,0.0,0.0,115909.65502250686,1728.6948281358584,140207.21466741987,0.32291433442302725,0.004429403956491689,0.9998918761819466,0.19060834039913127,0.3445431116975803,0.32291433442302725,0.32291433442302725,58.22666666666667,58.22666666666667,0.0,0.0,0.0,0.8874350454480213,0.0
e6_h0,0.0,0.0,118796.1789983277,1597.671003168523,143779.80893481095,0.2018405005244945,0.0021110278841933875,1.0,0.14725375081257017,0.006995080754350398,0.20184050052449454,0.20184050052449454,116.18666666666667,116.18666666666667,0.0,0.0,0.0,1.0,0.0
e6_h10,0.0,0.0,118980.68239388094,1600.9157377214212,143569.64702581157,0.23323910126411013,0.0028580128545084,1.0,0.15746350676080592,0.3042666942303495,0.23323910126411013,0.23323910126411013,111.94,111.94,4.306666666666667,39104.63424752423,18725.683131784266,1.0,0.0
e6_h50,0.0,0.0,118894.14784830928,1594.7084234014822,142728.80646807377,0.32725532833931625,0.0054935919708264695,1.0,0.2053599651065595,0.9281674253593295,0.32725532833931625,0.32725532833931625,98.37666666666667,98.37666666666667,17.933333333333334,157391.56940594484,75195.93581310635,1.0,0.0
e11_local_n10,0.0,0.0,119490.02784106859,3175.99133705756,169798.40998595487,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
e11_budget_n10,0.0,0.0,111110.69540567017,2071.7709296560024,137975.94415075917,0.9245304079322231,0.010512631657272117,1.0,0.9529692330295605,0.5964279381862125,0.9245304079322233,0.9245304079322233,2.5033333333333334,2.5033333333333334,0.0,0.0,0.0,1.0,0.0
e11_local_n50,1.0,0.0,610461.535905283,6855.909543123063,705295.1038006687,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
